source,target,value
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/59988322,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/322993925,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/313331194,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/176496267,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/220004578,3
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/50163763,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/169308891,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/143482792,3
http://Sniper:8080/ardennes-hicking/api/user/bob,http://Sniper:8080/ardennes-hicking/api/event/AUw7_5ub3b4NyJh4LMtO,2
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/104387620,3
http://Sniper:8080/ardennes-hicking/api/track/4708463,way/220004580,3
http://Sniper:8080/ardennes-hicking/api/track/4682511,way/333481144,3
